
Call:
model.avg(object = get.models(freqfitsPOI_1, subset = TRUE))

Component model call: 
glm(formula = LossesIndicator ~ <4096 unique rhs>, family = 
     poisson(link = "log"), data = crs$training, offset = log(Exposure))

Component models: 
                           df   logLik    AICc  delta weight
2/3/4/6/8/9/10/11          47  -960.81 2018.47  66.75   0.00
3/4/5/6/7/8                56  -951.28 2018.61  66.89   0.00
3/4/5/6/8/11               56  -951.46 2018.98  67.27   0.00
3/4/5/6/7/11/12            57  -950.41 2019.03  67.32   0.00
2/3/4/6/7/9/10/12          47  -961.21 2019.26  67.55   0.00
2/3/4/6/9/10/11/12         47  -961.24 2019.32  67.61   0.00
1/4/5/6/9/10               61  -946.31 2019.44  67.72   0.00
3/4/5/6/7/8/12             57  -950.68 2019.57  67.85   0.00
3/4/5/6/8/11/12            57  -950.76 2019.73  68.02   0.00
2/3/4/6/7/8/9/10/12        48  -960.55 2020.08  68.36   0.00
2/3/4/6/8/9/10/11/12       48  -960.60 2020.17  68.45   0.00
3/4/5/6/7/8/11             57  -951.00 2020.21  68.49   0.00
2/3/4/6/7/9/10/11          47  -961.73 2020.31  68.60   0.00
2/3/4/6/7/8/9/10/11        48  -960.72 2020.40  68.69   0.00
1/4/5/6/9/10/12            62  -945.73 2020.44  68.72   0.00
1/4/5/6/8/9/10             62  -946.00 2020.98  69.26   0.00
1/4/5/6/7/9/10             62  -946.00 2020.99  69.28   0.00
3/4/5/6/7/8/11/12          58  -950.40 2021.15  69.43   0.00
2/3/4/6/7/9/10/11/12       48  -961.20 2021.38  69.67   0.00
1/2/4/5/6/9/10             65  -942.96 2021.39  69.68   0.00
1/4/5/6/9/10/11            62  -946.31 2021.60  69.88   0.00
3/4/6/8/9/10               42  -967.72 2021.71  70.00   0.00
3/4/6/9/10/12              42  -967.76 2021.79  70.07   0.00
3/4/6/9/10                 41  -968.85 2021.86  70.15   0.00
1/4/5/6/7/9/10/12          63  -945.47 2022.08  70.37   0.00
2/3/4/6/7/8/9/10/11/12     49  -960.52 2022.13  70.42   0.00
1/2/4/5/6/9/10/12          66  -942.31 2022.28  70.57   0.00
2/3/4/6/9                  42  -968.06 2022.39  70.67   0.00
1/4/5/6/8/9/10/12          63  -945.62 2022.40  70.68   0.00
1/4/5/6/7/8/9/10           63  -945.65 2022.44  70.73   0.00
1/4/5/6/9/10/11/12         63  -945.73 2022.60  70.88   0.00
3/4/6/8/9/10/12            43  -967.14 2022.67  70.96   0.00
1/4/5/6/8/9/10/11          63  -945.99 2023.13  71.41   0.00
1/2/4/5/6/8/9/10           66  -942.74 2023.14  71.42   0.00
1/4/5/6/7/9/10/11          63  -946.00 2023.15  71.43   0.00
1/2/4/5/6/7/9/10           66  -942.75 2023.16  71.44   0.00
2/3/4/6/8/9                43  -967.51 2023.40  71.68   0.00
3/4/6/7/8/9/10             43  -967.57 2023.52  71.80   0.00
1/2/4/5/6/9/10/11          66  -942.95 2023.56  71.84   0.00
3/4/6/7/9/10/12            43  -967.68 2023.75  72.03   0.00
3/4/6/7/9/10               42  -968.77 2023.82  72.10   0.00
3/4/6/8/9/10/11            43  -967.72 2023.82  72.10   0.00
3/4/6/9/10/11/12           43  -967.75 2023.88  72.16   0.00
3/4/6/9/10/11              42  -968.81 2023.90  72.18   0.00
2/3/4/6/9/12               43  -967.77 2023.93  72.21   0.00
1/4/5/6/7/8/9/10/12        64  -945.33 2023.97  72.26   0.00
1/2/4/5/6/7/9/10/12        67  -942.15 2024.14  72.42   0.00
1/4/5/6/7/9/10/11/12       64  -945.46 2024.23  72.51   0.00
1/2/4/5/6/8/9/10/12        67  -942.26 2024.35  72.63   0.00
1/2/4/5/6/9/10/11/12       67  -942.31 2024.46  72.74   0.00
2/3/4/6/7/9                43  -968.04 2024.47  72.75   0.00
2/3/4/6/9/11               43  -968.05 2024.49  72.78   0.00
3/4/6/7/8/9/10/12          44  -967.02 2024.53  72.81   0.00
1/4/5/6/8/9/10/11/12       64  -945.62 2024.55  72.83   0.00
1/4/5/6/7/8/9/10/11        64  -945.63 2024.56  72.85   0.00
3/4/6/8/9/10/11/12         44  -967.14 2024.79  73.07   0.00
1/2/4/5/6/7/8/9/10         67  -942.51 2024.85  73.13   0.00
2/3/4/6/10                 39  -972.66 2025.28  73.57   0.00
1/2/4/5/6/8/9/10/11        67  -942.74 2025.31  73.59   0.00
2/3/4/6/8/9/12             44  -967.41 2025.32  73.60   0.00
1/2/4/5/6/7/9/10/11        67  -942.75 2025.33  73.62   0.00
2/3/4/6/7/8/9              44  -967.47 2025.43  73.72   0.00
2/3/4/6/8/9/11             44  -967.50 2025.50  73.79   0.00
1/2/4/5/6/9                62  -948.30 2025.58  73.87   0.00
3/4/6/7/8/9/10/11          44  -967.57 2025.63  73.92   0.00
3/4/6/7/9/10/11/12         44  -967.68 2025.85  74.13   0.00
3/4/6/7/9/10/11            43  -968.74 2025.87  74.16   0.00
2/3/4/6/7/9/12             44  -967.76 2026.01  74.30   0.00
2/3/4/6/9/11/12            44  -967.77 2026.04  74.32   0.00
1/4/5/6/7/8/9/10/11/12     65  -945.31 2026.10  74.38   0.00
1/2/4/5/6/7/8/9/10/12      68  -942.08 2026.17  74.45   0.00
1/2/4/5/6/9/12             63  -947.57 2026.29  74.57   0.00
1/2/4/5/6/7/9/10/11/12     68  -942.15 2026.31  74.60   0.00
1/2/4/5/6/8/9/10/11/12     68  -942.26 2026.53  74.81   0.00
2/3/4/6/7/9/11             44  -968.04 2026.57  74.86   0.00
3/4/6/7/8/9/10/11/12       45  -967.01 2026.64  74.92   0.00
2/3/4/6/10/12              40  -972.43 2026.93  75.21   0.00
1/4/5/6/9                  58  -953.33 2027.00  75.29   0.00
1/2/4/5/6/7/8/9/10/11      68  -942.51 2027.02  75.30   0.00
2/3/4/6/7/10               40  -972.56 2027.18  75.46   0.00
2/3/4/6/8/10               40  -972.59 2027.24  75.52   0.00
3/4/6/9                    38  -974.70 2027.27  75.55   0.00
1/2/4/5/6/7/9              63  -948.09 2027.32  75.61   0.00
1/2/4/5/6/8/9              63  -948.10 2027.35  75.64   0.00
2/3/4/6/10/11              40  -972.65 2027.37  75.65   0.00
2/3/4/6/7/8/9/12           45  -967.38 2027.37  75.66   0.00
2/3/4/6/8/9/11/12          45  -967.41 2027.43  75.71   0.00
2/3/4/6/7/8/9/11           45  -967.46 2027.54  75.82   0.00
1/2/4/5/6/9/11             63  -948.27 2027.68  75.97   0.00
3/4/6/9/12                 39  -973.94 2027.83  76.12   0.00
3/4/6/8/9                  39  -974.03 2028.03  76.31   0.00
1/2/4/5/6/7/9/12           64  -947.40 2028.12  76.41   0.00
2/3/4/6/7/9/11/12          45  -967.76 2028.13  76.41   0.00
1/4/5/6/9/12               59  -952.84 2028.19  76.47   0.00
1/2/4/5/6/7/8/9/10/11/12   69  -942.08 2028.35  76.63   0.00
1/2/4/5/6/8/9/12           64  -947.53 2028.38  76.66   0.00
1/2/4/5/6/9/11/12          64  -947.55 2028.42  76.70   0.00
1/4/5/6/7/9                59  -953.00 2028.51  76.80   0.00
1/4/5/6/8/9                59  -953.10 2028.71  76.99   0.00
2/3/4/6/7/10/12            41  -972.34 2028.85  77.13   0.00
2/3/4/6/8/10/12            41  -972.41 2029.00  77.28   0.00
2/3/4/6/10/11/12           41  -972.43 2029.03  77.31   0.00
1/2/4/5/6/7/8/9            64  -947.87 2029.05  77.33   0.00
2/3/4/6/7/8/10             41  -972.47 2029.10  77.39   0.00
1/4/5/6/9/11               59  -953.32 2029.15  77.43   0.00
3/4/6/7/9                  39  -974.65 2029.26  77.54   0.00
2/3/4/6/7/10/11            41  -972.56 2029.28  77.56   0.00
3/4/6/9/11                 39  -974.66 2029.29  77.57   0.00
3/4/6/8/9/12               40  -973.62 2029.30  77.59   0.00
2/3/4/6/8/10/11            41  -972.59 2029.34  77.62   0.00
1/2/4/5/6/7/9/11           64  -948.07 2029.46  77.74   0.00
2/3/4/6/7/8/9/11/12        46  -967.37 2029.48  77.76   0.00
1/2/4/5/6/8/9/11           64  -948.08 2029.48  77.77   0.00
1/4/5/6/7/9/12             60  -952.56 2029.79  78.07   0.00
3/4/6/7/9/12               40  -973.88 2029.83  78.11   0.00
3/4/6/9/11/12              40  -973.92 2029.90  78.18   0.00
3/4/6/7/8/9                40  -973.94 2029.94  78.22   0.00
3/4/6/8/9/11               40  -974.02 2030.10  78.39   0.00
1/4/5/6/7/8/9              60  -952.75 2030.15  78.44   0.00
1/2/4/5/6/7/8/9/12         65  -947.35 2030.18  78.47   0.00
1/4/5/6/8/9/12             60  -952.77 2030.21  78.49   0.00
1/2/4/5/6/7/9/11/12        65  -947.40 2030.27  78.56   0.00
1/4/5/6/9/11/12            60  -952.84 2030.34  78.62   0.00
1/2/4/5/6/8/9/11/12        65  -947.52 2030.52  78.80   0.00
1/4/5/6/7/9/11             60  -953.00 2030.67  78.95   0.00
1/4/5/6/8/9/11             60  -953.10 2030.86  79.14   0.00
2/3/4/6/7/8/10/12          42  -972.31 2030.90  79.19   0.00
2/3/4/6/7/10/11/12         42  -972.34 2030.96  79.24   0.00
2/3/4/6/8/10/11/12         42  -972.41 2031.10  79.39   0.00
1/2/4/5/6/7/8/9/11         65  -947.86 2031.20  79.49   0.00
2/3/4/6/7/8/10/11          42  -972.47 2031.21  79.49   0.00
3/4/6/7/8/9/12             41  -973.54 2031.25  79.53   0.00
3/4/6/7/9/11               40  -974.62 2031.30  79.58   0.00
3/4/6/8/9/11/12            41  -973.61 2031.39  79.68   0.00
1/4/5/6/7/8/9/12           61  -952.47 2031.76  80.05   0.00
3/4/6/7/9/11/12            41  -973.87 2031.91  80.19   0.00
1/4/5/6/7/9/11/12          61  -952.56 2031.94  80.23   0.00
3/4/6/7/8/9/11             41  -973.93 2032.03  80.32   0.00
3/4/6/10                   35  -980.35 2032.27  80.55   0.00
1/4/5/6/7/8/9/11           61  -952.74 2032.30  80.59   0.00
1/2/4/5/6/7/8/9/11/12      66  -947.35 2032.35  80.63   0.00
1/4/5/6/8/9/11/12          61  -952.77 2032.37  80.65   0.00
3/4/6/10/12                36  -979.66 2033.00  81.28   0.00
2/3/4/6/7/8/10/11/12       43  -972.31 2033.01  81.30   0.00
3/4/6/7/8/9/11/12          42  -973.54 2033.35  81.63   0.00
1/4/5/6/7/8/9/11/12        62  -952.47 2033.91  82.20   0.00
3/4/6/8/10                 36  -980.21 2034.08  82.37   0.00
3/4/6/7/10                 36  -980.22 2034.12  82.40   0.00
3/4/6/10/11                36  -980.30 2034.27  82.55   0.00
3/4/6/7/10/12              37  -979.55 2034.87  83.15   0.00
3/4/6/10/11/12             37  -979.64 2035.05  83.33   0.00
3/4/6/8/10/12              37  -979.65 2035.06  83.35   0.00
2/3/4/6                    36  -980.81 2035.30  83.58   0.00
3/4/6/7/8/10               37  -980.05 2035.87  84.16   0.00
3/4/6/8/10/11              37  -980.18 2036.12  84.41   0.00
3/4/6/7/10/11              37  -980.19 2036.14  84.43   0.00
1/4/6/9/10                 39  -978.17 2036.29  84.58   0.00
3/4/6/7/8/10/12            38  -979.53 2036.91  85.20   0.00
3/4/6/7/10/11/12           38  -979.54 2036.94  85.22   0.00
3/4/6/8/10/11/12           38  -979.63 2037.13  85.41   0.00
2/3/4/6/12                 37  -980.73 2037.22  85.50   0.00
2/3/4/6/7                  37  -980.75 2037.27  85.55   0.00
2/3/4/6/8                  37  -980.81 2037.38  85.66   0.00
2/3/4/6/11                 37  -980.81 2037.38  85.67   0.00
1/4/6/9/10/12              40  -977.74 2037.55  85.83   0.00
1/4/6/8/9/10               40  -977.89 2037.84  86.12   0.00
3/4/6/7/8/10/11            38  -980.04 2037.94  86.23   0.00
1/4/6/9/10/11              40  -978.08 2038.22  86.51   0.00
1/4/6/7/9/10               40  -978.11 2038.29  86.57   0.00
3/4/6/7/8/10/11/12         39  -979.52 2038.99  87.28   0.00
1/2/4/6/9/10               43  -975.39 2039.16  87.45   0.00
2/3/4/6/7/12               38  -980.67 2039.21  87.49   0.00
2/3/4/6/8/12               38  -980.73 2039.32  87.60   0.00
2/3/4/6/11/12              38  -980.73 2039.32  87.60   0.00
2/3/4/6/7/8                38  -980.74 2039.35  87.63   0.00
2/3/4/6/7/11               38  -980.75 2039.36  87.64   0.00
1/4/6/8/9/10/12            41  -977.64 2039.44  87.72   0.00
2/3/4/6/8/11               38  -980.81 2039.47  87.76   0.00
1/4/6/9/10/11/12           41  -977.68 2039.53  87.82   0.00
1/4/6/7/9/10/12            41  -977.71 2039.58  87.87   0.00
1/4/6/7/8/9/10             41  -977.82 2039.80  88.09   0.00
1/4/6/8/9/10/11            41  -977.83 2039.84  88.12   0.00
1/4/6/7/9/10/11            41  -978.04 2040.24  88.53   0.00
3/4/6                      32  -987.64 2040.59  88.88   0.00
1/2/4/6/9/10/12            44  -975.11 2040.71  88.99   0.00
1/2/4/6/8/9/10             44  -975.27 2041.04  89.33   0.00
1/2/4/6/9/10/11            44  -975.32 2041.14  89.42   0.00
1/2/4/6/7/9/10             44  -975.32 2041.14  89.42   0.00
2/3/4/6/7/11/12            39  -980.67 2041.31  89.59   0.00
2/3/4/6/7/8/12             39  -980.67 2041.31  89.59   0.00
2/3/4/6/8/11/12            39  -980.73 2041.41  89.70   0.00
2/3/4/6/7/8/11             39  -980.74 2041.44  89.73   0.00
1/4/6/7/8/9/10/12          42  -977.59 2041.45  89.73   0.00
1/4/6/8/9/10/11/12         42  -977.59 2041.46  89.74   0.00
1/4/6/7/9/10/11/12         42  -977.65 2041.58  89.87   0.00
3/4/6/12                   33  -987.16 2041.72  90.00   0.00
1/4/6/7/8/9/10/11          42  -977.77 2041.82  90.11   0.00
3/4/6/7                    33  -987.54 2042.48  90.76   0.00
3/4/6/8                    33  -987.60 2042.60  90.88   0.00
3/4/6/11                   33  -987.62 2042.65  90.94   0.00
1/2/4/6/7/9/10/12          45  -975.05 2042.72  91.00   0.00
1/2/4/6/9/10/11/12         45  -975.06 2042.73  91.01   0.00
1/2/4/6/8/9/10/12          45  -975.07 2042.76  91.04   0.00
1/2/4/6/7/8/9/10           45  -975.19 2042.99  91.28   0.00
1/2/4/6/8/9/10/11          45  -975.22 2043.06  91.34   0.00
1/2/4/6/7/9/10/11          45  -975.26 2043.14  91.42   0.00
1/4/5/6/10                 55  -964.70 2043.31  91.59   0.00
2/3/4/6/7/8/11/12          40  -980.67 2043.41  91.69   0.00
1/4/6/7/8/9/10/11/12       43  -977.55 2043.49  91.77   0.00
3/4/6/7/12                 34  -987.07 2043.63  91.92   0.00
3/4/6/11/12                34  -987.15 2043.80  92.08   0.00
3/4/6/8/12                 34  -987.16 2043.80  92.09   0.00
1/4/6/9                    36  -985.14 2043.95  92.24   0.00
3/4/6/7/8                  34  -987.48 2044.46  92.74   0.00
3/4/6/7/11                 34  -987.53 2044.55  92.83   0.00
1/4/5/6/10/11              56  -964.26 2044.58  92.86   0.00
1/4/5/6/7/10               56  -964.29 2044.63  92.91   0.00
3/4/6/8/11                 34  -987.59 2044.67  92.95   0.00
1/2/4/6/7/8/9/10/12        46  -975.01 2044.76  93.04   0.00
1/2/4/6/7/9/10/11/12       46  -975.01 2044.76  93.04   0.00
1/2/4/6/8/9/10/11/12       46  -975.04 2044.80  93.08   0.00
1/2/4/6/7/8/9/10/11        46  -975.15 2045.04  93.32   0.00
1/4/5/6/10/12              56  -964.56 2045.18  93.47   0.00
1/4/5/6/8/10               56  -964.62 2045.29  93.58   0.00
1/4/6/9/12                 37  -984.85 2045.46  93.75   0.00
1/2/4/6/9                  40  -981.80 2045.66  93.94   0.00
1/4/5/6/7/10/11            57  -963.75 2045.71  94.00   0.00
3/4/6/7/11/12              35  -987.07 2045.72  94.00   0.00
3/4/6/7/8/12               35  -987.07 2045.72  94.01   0.00
1/4/6/8/9                  37  -984.98 2045.73  94.01   0.00
1/4/6/9/11                 37  -985.05 2045.87  94.16   0.00
3/4/6/8/11/12              35  -987.15 2045.88  94.17   0.00
1/4/6/7/9                  37  -985.11 2045.99  94.28   0.00
1/2/3/4/5/9/12             54  -967.25 2046.27  94.55   0.00
1/4/5/6/10/11/12           57  -964.08 2046.36  94.65   0.00
3/4/6/7/8/11               35  -987.48 2046.54  94.82   0.00
1/4/5/6/7/10/12            57  -964.19 2046.58  94.86   0.00
1/4/5/6/7/8/10             57  -964.22 2046.64  94.92   0.00
1/4/5/6/8/10/11            57  -964.23 2046.66  94.95   0.00
1/2/4/5/6/10               59  -962.08 2046.67  94.95   0.00
1/2/4/6/7/8/9/10/11/12     47  -974.98 2046.82  95.10   0.00
1/4/5/6/8/10/12            57  -964.37 2046.94  95.23   0.00
1/2/3/4/5/9                53  -968.76 2047.15  95.43   0.00
1/2/4/6/9/12               41  -981.54 2047.24  95.52   0.00
1/4/6/9/11/12              38  -984.78 2047.42  95.70   0.00
1/4/6/8/9/12               38  -984.80 2047.46  95.74   0.00
1/4/6/7/9/12               38  -984.83 2047.53  95.81   0.00
1/2/4/6/9/11               41  -981.69 2047.56  95.84   0.00
1/4/5/6/7/10/11/12         58  -963.62 2047.59  95.87   0.00
1/2/4/6/8/9                41  -981.73 2047.62  95.90   0.00
1/2/4/6/7/9                41  -981.75 2047.66  95.94   0.00
1/4/6/8/9/11               38  -984.91 2047.69  95.97   0.00
1/4/6/7/8/9                38  -984.95 2047.75  96.04   0.00
3/4/6/7/8/11/12            36  -987.07 2047.81  96.09   0.00
1/4/5/6/7/8/10/11          58  -963.74 2047.83  96.11   0.00
1/4/6/7/9/11               38  -985.03 2047.93  96.21   0.00
1/2/4/5/6/7/10             60  -961.67 2048.00  96.28   0.00
1/2/3/4/5/8/9/12           55  -967.10 2048.12  96.40   0.00
1/2/4/5/6/10/11            60  -961.77 2048.19  96.48   0.00
1/2/3/4/5/8/9              54  -968.26 2048.29  96.57   0.00
1/4/5/6/8/10/11/12         58  -963.97 2048.29  96.57   0.00
1/2/4/5/6/10/12            60  -961.85 2048.36  96.65   0.00
1/2/3/4/5/9/11/12          55  -967.24 2048.39  96.67   0.00
1/4/5/6/7/8/10/12          58  -964.03 2048.41  96.69   0.00
1/2/3/4/5/7/9/12           55  -967.25 2048.41  96.69   0.00
1/2/4/5/6/8/10             60  -962.03 2048.72  97.00   0.00
1/2/4/6/9/11/12            42  -981.46 2049.19  97.47   0.00
1/2/4/6/7/9/12             42  -981.50 2049.27  97.56   0.00
1/2/3/4/5/9/11             54  -968.75 2049.28  97.56   0.00
1/2/3/4/5/7/9              54  -968.76 2049.28  97.57   0.00
1/2/4/6/8/9/12             42  -981.53 2049.33  97.61   0.00
1/2/4/5/6/7/10/11          61  -961.27 2049.37  97.65   0.00
1/4/6/8/9/11/12            39  -984.74 2049.44  97.72   0.00
1/2/3/4/5/9/10/12          57  -965.62 2049.45  97.74   0.00
1/4/6/7/9/11/12            39  -984.77 2049.50  97.78   0.00
1/4/6/7/8/9/12             39  -984.78 2049.51  97.80   0.00
1/2/4/6/8/9/11             42  -981.64 2049.55  97.84   0.00
1/2/4/6/7/9/11             42  -981.65 2049.58  97.87   0.00
1/4/5/6/7/8/10/11/12       59  -963.54 2049.59  97.87   0.00
1/2/4/6/7/8/9              42  -981.67 2049.61  97.90   0.00
1/4/6/7/8/9/11             39  -984.89 2049.73  98.02   0.00
1/2/4/5/6/7/10/12          61  -961.49 2049.80  98.08   0.00
1/2/4/5/6/10/11/12         61  -961.49 2049.81  98.09   0.00
1/2/4/5/6/7/8/10           61  -961.63 2050.08  98.36   0.00
1/2/3/4/5/8/9/11/12        56  -967.08 2050.22  98.50   0.00
1/2/4/5/6/8/10/12          61  -961.70 2050.22  98.51   0.00
1/2/3/4/5/7/8/9/12         56  -967.10 2050.25  98.54   0.00
1/2/4/5/6/8/10/11          61  -961.74 2050.31  98.59   0.00
1/2/3/4/5/8/9/11           55  -968.23 2050.37  98.66   0.00
1/2/3/4/5/7/8/9            55  -968.24 2050.40  98.68   0.00
1/2/3/4/5/9/10             56  -967.22 2050.49  98.77   0.00
1/2/3/4/5/7/9/11/12        56  -967.24 2050.53  98.82   0.00
1/2/4/5/6/7/10/11/12       62  -961.06 2051.10  99.38   0.00
1/2/4/6/7/9/11/12          43  -981.43 2051.24  99.52   0.00
1/2/4/6/8/9/11/12          43  -981.45 2051.28  99.57   0.00
1/2/3/4/5/8/9/10/12        58  -965.48 2051.32  99.60   0.00
1/2/4/6/7/8/9/12           43  -981.49 2051.35  99.64   0.00
1/2/3/4/5/7/9/11           55  -968.75 2051.41  99.70   0.00
1/4/5/6                    52  -971.98 2051.46  99.74   0.00
1/2/4/5/6/7/8/10/11        62  -961.26 2051.50  99.79   0.00
1/4/6/7/8/9/11/12          40  -984.72 2051.51  99.79   0.00
1/2/3/4/5/9/10/11/12       58  -965.60 2051.56  99.84   0.00
1/2/4/6/7/8/9/11           43  -981.59 2051.57  99.85   0.00
1/2/3/4/5/7/9/10/12        58  -965.62 2051.59  99.88   0.00
1/2/3/4/5/8/9/10           57  -966.70 2051.61  99.89   0.00
1/2/4/5/6/7/8/10/12        62  -961.37 2051.72 100.00   0.00
1/2/4/5/6/8/10/11/12       62  -961.40 2051.78 100.06   0.00
1/2/4/5/6                  56  -968.13 2052.31 100.59   0.00
1/2/3/4/5/7/8/9/11/12      57  -967.07 2052.35 100.63   0.00
1/2/3/4/5/7/8/9/11         56  -968.21 2052.47 100.76   0.00
1/2/3/4/5/9/10/11          57  -967.20 2052.61 100.89   0.00
1/2/3/4/5/7/9/10           57  -967.20 2052.61 100.90   0.00
1/4/5/6/11                 53  -971.52 2052.66 100.94   0.00
1/4/5/6/7                  53  -971.67 2052.96 101.24   0.00
1/2/4/5/6/7/8/10/11/12     63  -960.99 2053.13 101.41   0.00
1/4/5/6/8                  53  -971.78 2053.18 101.47   0.00
1/2/4/6/7/8/9/11/12        44  -981.42 2053.33 101.62   0.00
1/4/5/6/12                 53  -971.86 2053.35 101.64   0.00
1/2/3/4/5/8/9/10/11/12     59  -965.44 2053.39 101.67   0.00
1/2/3/4/5/7/8/9/10/12      59  -965.47 2053.45 101.73   0.00
1/2/3/4/5/8/9/10/11        58  -966.66 2053.67 101.95   0.00
1/2/4/5/6/7                57  -967.74 2053.68 101.97   0.00
1/2/3/4/5/7/8/9/10         58  -966.67 2053.69 101.97   0.00
1/2/3/4/5/7/9/10/11/12     59  -965.59 2053.70 101.98   0.00
1/2/4/5/6/12               57  -967.81 2053.82 102.10   0.00
1/2/4/5/6/11               57  -967.87 2053.94 102.22   0.00
1/4/5/6/7/11               54  -971.11 2053.99 102.27   0.00
1/2/4/5/6/8                57  -968.04 2054.28 102.57   0.00
1/4/5/6/11/12              54  -971.35 2054.46 102.74   0.00
1/4/5/6/8/11               54  -971.40 2054.56 102.85   0.00
1/4/5/6/7/8                54  -971.47 2054.71 103.00   0.00
1/2/3/4/5/7/9/10/11        58  -967.19 2054.73 103.01   0.00
1/4/5/6/8/12               54  -971.48 2054.74 103.02   0.00
1/4/5/6/7/12               54  -971.58 2054.93 103.21   0.00
1/2/4/5/6/7/11             58  -967.41 2055.17 103.45   0.00
1/2/4/5/6/7/12             58  -967.48 2055.31 103.60   0.00
1/2/4/5/6/11/12            58  -967.50 2055.34 103.63   0.00
1/4/6/10                   33  -993.98 2055.37 103.65   0.00
1/2/4/5/6/8/12             58  -967.57 2055.50 103.79   0.00
1/2/3/4/5/7/8/9/10/11/12   60  -965.42 2055.50 103.79   0.00
1/2/4/5/6/7/8              58  -967.67 2055.69 103.97   0.00
1/2/3/4/5/7/8/9/10/11      59  -966.61 2055.73 104.01   0.00
1/4/5/6/7/11/12            55  -970.98 2055.88 104.16   0.00
1/4/5/6/7/8/11             55  -971.01 2055.93 104.21   0.00
1/2/4/5/6/8/11             58  -967.81 2055.98 104.27   0.00
1/4/5/6/8/11/12            55  -971.08 2056.08 104.36   0.00
1/4/5/6/7/8/12             55  -971.24 2056.39 104.68   0.00
1/2/4/5/6/7/11/12          59  -967.10 2056.71 104.99   0.00
1/2/4/5/6/7/8/12           59  -967.28 2057.07 105.35   0.00
1/4/6/7/10                 34  -993.80 2057.09 105.37   0.00
1/2/4/5/6/8/11/12          59  -967.32 2057.15 105.43   0.00
1/4/6/8/10                 34  -993.86 2057.21 105.49   0.00
1/2/4/5/6/7/8/11           59  -967.37 2057.25 105.53   0.00
